name,Wins,Draws,Losses
"Carlsen, Magnus",2879 (48.53 %),718 (35.27 %),961 (16.2 %)
"Caruana, Fabiano",2025 (42.75 %),547 (34.49 %),1078 (22.76 %)
"Nakamura, Hikaru",N/A,N/A,N/A
"Ding, Liren",760 (33.48 %),413 (47.4 %),434 (19.12 %)
"Firouzja, Alireza",1484 (52.68 %),223 (23.82 %),662 (23.5 %)
"Nepomniachtchi, Ian",1566 (40.26 %),589 (39.02 %),806 (20.72 %)
"So, Wesley",1588 (39.11 %),586 (43.79 %),694 (17.09 %)
"Giri, Anish",1226 (32.51 %),688 (48.02 %),734 (19.46 %)
Gukesh D,572 (30.94 %),None (22.01 %),870 (47.05 %)
"Anand, Viswanathan",N/A,N/A,N/A
"Rapport, Richard",864 (41.14 %),274 (37.0 %),459 (21.86 %)
"Karjakin, Sergey",N/A,N/A,N/A
"Dominguez Perez, Leinier",982 (33.91 %),516 (44.99 %),611 (21.1 %)
"Radjabov, Teimour",739 (29.01 %),574 (53.4 %),448 (17.59 %)
"Aronian, Levon",N/A,N/A,N/A
"Mamedyarov, Shakhriyar",2034 (41.27 %),727 (37.32 %),1055 (21.41 %)
"Le, Quang Liem",N/A,N/A,N/A
"Grischuk, Alexander",2066 (39.41 %),805 (41.68 %),991 (18.9 %)
"Duda, Jan-Krzysztof",1440 (47.06 %),0 (29.84 %),707 (23.1 %)
"Vachier-Lagrave, Maxime",1993 (41.44 %),None (40.69 %),859 (17.86 %)
"Topalov, Veselin",1002 (33.71 %),None (42.8 %),698 (23.49 %)
"Wei, Yi",704 (39.33 %),None (41.62 %),341 (19.05 %)
"Yu, Yangyi",1016 (42.05 %),382 (42.14 %),382 (15.81 %)
"Vitiugov, Nikita",898 (39.27 %),None (45.65 %),345 (15.09 %)
"Vidit, Santosh Gujrathi",1161 (43.61 %),None (36.33 %),534 (20.06 %)
"Abdusattorov, Nodirbek",1278 (50.08 %),176 (25.47 %),624 (24.45 %)
Praggnanandhaa R,608 (28.64 %),None (24.45 %),996 (46.91 %)
"Keymer, Vincent",1088 (50.07 %),240 (23.06 %),584 (26.88 %)
"Vallejo Pons, Francisco",1229 (39.92 %),None (38.75 %),657 (21.34 %)
"Harikrishna, Pentala",7 (25.0 %),4 (60.71 %),4 (14.29 %)
"Dubov, Daniil",1710 (47.9 %),505 (31.9 %),721 (20.2 %)
"Maghsoodloo, Parham",1545 (52.59 %),None (24.13 %),684 (23.28 %)
"Sjugirov, Sanan",2097 (50.05 %),None (26.35 %),989 (23.6 %)
Erigaisi Arjun,767 (32.31 %),164 (24.77 %),1019 (42.92 %)
"Deac, Bogdan-Daniel",N/A,N/A,N/A
"Robson, Ray",630 (42.42 %),None (32.39 %),374 (25.19 %)
"Wang, Hao",890 (38.75 %),801 (41.84 %),446 (19.42 %)
"Van Foreest, Jorden",1312 (45.59 %),295 (28.49 %),746 (25.92 %)
"Artemiev, Vladislav",N/A,N/A,N/A
"Sevian, Samuel",1044 (46.92 %),None (31.33 %),484 (21.75 %)
"Shankland, Sam",N/A,N/A,N/A
"Eljanov, Pavel",1298 (42.29 %),None (34.96 %),698 (22.74 %)
"Tomashevsky, Evgeny",N/A,N/A,N/A
"Xiong, Jeffery",1834 (52.19 %),None (27.4 %),717 (20.4 %)
"Sargissian, Gabriel",N/A,N/A,N/A
Nihal Sarin,689 (29.13 %),307 (32.05 %),918 (38.82 %)
"Svidler, Peter",1701 (37.29 %),None (44.31 %),839 (18.4 %)
"Bu, Xiangzhi",821 (39.04 %),491 (47.03 %),293 (13.93 %)
"Sarana, Alexey",2736 (56.03 %),None (20.6 %),1141 (23.37 %)
"Navara, David",1809 (47.46 %),None (33.63 %),721 (18.91 %)
"Anton Guijarro, David",1239 (45.19 %),None (33.41 %),587 (21.41 %)
"Tabatabaei, M. Amin",610 (50.75 %),None (23.96 %),304 (25.29 %)
"Martirosyan, Haik M.",903 (49.02 %),102 (28.66 %),411 (22.31 %)
"Esipenko, Andrey",1075 (46.3 %),None (33.33 %),473 (20.37 %)
"Amin, Bassem",1088 (49.79 %),345 (27.0 %),507 (23.2 %)
"Grandelius, Nils",1377 (44.84 %),None (34.03 %),649 (21.13 %)
"Oparin, Grigoriy",1688 (45.98 %),None (32.39 %),794 (21.63 %)
"Donchenko, Alexander",1528 (46.96 %),None (30.12 %),746 (22.93 %)
"Shevchenko, Kirill",974 (50.54 %),184 (26.41 %),444 (23.04 %)
"Matlakov, Maxim",1525 (45.89 %),None (35.06 %),633 (19.05 %)
"Shirov, Alexei",2392 (44.97 %),1032 (37.0 %),959 (18.03 %)
"Howell, David W L",1471 (49.25 %),None (28.26 %),672 (22.5 %)
"Alekseenko, Kirill",1173 (51.33 %),None (22.67 %),594 (26.0 %)
"Kovalenko, Igor",N/A,N/A,N/A
"Wojtaszek, Radoslaw",1239 (41.55 %),493 (42.69 %),470 (15.76 %)
"Kasimdzhanov, Rustam",748 (38.4 %),None (44.1 %),341 (17.51 %)
"Ivanchuk, Vasyl",N/A,N/A,N/A
"Fedoseev, Vladimir",2228 (52.24 %),None (23.77 %),1023 (23.99 %)
"Bluebaum, Matthias",2061 (51.5 %),None (26.19 %),893 (22.31 %)
"Sindarov, Javokhir",497 (48.97 %),None (28.08 %),233 (22.96 %)
"Leko, Peter",N/A,N/A,N/A
"Moussard, Jules",N/A,N/A,N/A
"Bacrot, Etienne",1910 (43.96 %),790 (36.16 %),864 (19.88 %)
"Adams, Michael",N/A,N/A,N/A
"Niemann, Hans Moke",923 (49.15 %),144 (22.31 %),536 (28.54 %)
"Korobov, Anton",1675 (49.38 %),486 (31.84 %),637 (18.78 %)
"Volokitin, Andrei",N/A,N/A,N/A
"Santos Latasa, Jaime",779 (48.57 %),None (35.41 %),257 (16.02 %)
"Wang, Yue",N/A,N/A,N/A
Narayanan.S.L,N/A,N/A,N/A
"Inarkiev, Ernesto",N/A,N/A,N/A
"Salem, A.R. Saleh",1076 (50.12 %),None (23.47 %),567 (26.41 %)
"Kryvoruchko, Yuriy",N/A,N/A,N/A
"Gelfand, Boris",N/A,N/A,N/A
"Cheparinov, Ivan",1273 (43.31 %),None (38.86 %),524 (17.83 %)
"Guseinov, Gadir",N/A,N/A,N/A
"Abasov, Nijat",N/A,N/A,N/A
"Fressinet, Laurent",N/A,N/A,N/A
"Predke, Alexandr",N/A,N/A,N/A
"Li, Chao b",652 (43.06 %),None (39.5 %),264 (17.44 %)
"Ma, Qun",234 (39.26 %),None (47.48 %),79 (13.26 %)
"Naiditsch, Arkadij",1411 (46.05 %),None (31.89 %),676 (22.06 %)
"Ni, Hua",691 (39.94 %),None (45.2 %),257 (14.86 %)
"Ponomariov, Ruslan",912 (34.98 %),500 (45.15 %),518 (19.87 %)
"Melkumyan, Hrant",N/A,N/A,N/A
"Najer, Evgeniy",1181 (43.18 %),None (34.52 %),610 (22.3 %)
"Saric, Ivan",1153 (43.31 %),None (36.03 %),550 (20.66 %)
"Malakhov, Vladimir",N/A,N/A,N/A
"Liang, Awonder",N/A,N/A,N/A
"Aravindh, Chithambaram VR.",N/A,N/A,N/A
